University/College,Ratings,Reviews,Source
Kurnool Medical College,3.7,The faculty here is very good and well experienced. They too are once mbbs students so they understands the problems and difficult in understanding the subject so they teach accordingly. And every department has their own sufficient amount of professors. And coming to the exams we have main final exam university conducting and 3 to 4 internal exams depending upon the time given for the course.,Collegedunia
"Ewing Christian College, Allahabad",3.2,"Enjoyable college life I would give the infrastructure 4 out of 5 stars. The campus is well maintained and provides a pleasant environment for students. Classrooms are properly arranged and comfortable for daily lectures. The library is helpful and has a good collection of study materials. Facilities like clean washrooms, drinking water, and common areas are available. Overall, the infrastructure is satisfactory. I would rate academics 4 out of 5 stars. The faculty members are experienced and explain the topics in an easy way. Classes are held on a regular basis and the syllabus is covered on time. Students also get proper guidance for assignments and exams. Overall, the academic environment is supportive. I would rate placements 2 out of 5 stars. The placement support is limited and only a few companies visit the campus. Opportunities are available, but they are not enough for all students. Many students need to search for jobs on their own. The college should improve its placement cell and build stronger connections with companies.",Career360
"Deogiri Institute of Technology and Management Studies, Aurangabad",1.5,Here academics is good the focus on academics somewhat and personal life more here there are teachers sometime not available in classroom teching is not so good should opt for some course but for not all,Collegedunia
"PES University, Bangalore",1.5,1st of all they complete 2 years course in a single year. And their main focus is on syllabus completion. And they don't care about student understandings. Actually even faculty do not have proper knowledge about the course which they handle. They just copy it from W3 school or any other online web sources.,Collegedunia
"Tapasya College of Commerce and Management, Hyderabad",3.7,"It good The college has good faculty and supportive teachers. The campus is clean and facilities of labs are well maintained. Overall it is a good place students who want to balanced academic and campus life. Ã¢ÂÂThe academic environment of the college is good. The faculty members are knowledgeable and supportive. The syllabus is well-structured and covers important concepts related to the course. Practical sessions and lab facilities help students understand the subjects better. placement opportunities in the college are average. The placement cell provides training programs like aptitude tests, group discussions, and interview preparation. Some companies visit the campus every year and offer jobs to eligible students. The average salary package is moderate. Students who have good skills and academic performance have better chances of getting placed.Ã¢ÂÂ Ã¢ÂÂCampus life is decent. There are some cultural and sports events conducted by the college, and students can participate in activities. The environment is friendly, but more events and opportunities could improve the campus experience.Ã¢ÂÂ",Career360
"Immanuel College, Dimapur",3.7,"My delights is to REVIEW my College The College is known for its high TECH Campus with CCTV in every corner of the campus and in building. The College has a transportation which gives easy accessible for the students goers. The college has a computer laboratories which helped students in learning the trending of this present technologies. The college has Science laboratories for its practical learning. There is also good auditorium which serve for various purposes in every occasions etc . First of all, all the faculties are well NET/JRF qualified with numbers of professors with PHD. They build the foundations of every journey of students until reaching thier desired destinations. Education here is in best refined quality . The other curriculums were also disposed in our mind without any fail by them. How wonderful are those intelligent and supportive Professors , your positiveness are now started growing through various job they gets. The Job Seekers from the College is no longer at dilemma for the College leads the path towards successful job placements. The knowledge banks that is the college i defined is the backboned and the strength of my job doing now. They are very supportive in terms of jobs and in learning technical and skills developments , students partake with serious determination. You just have to check the review in its official College websites and gain more intense knowledge about the incomparable beauty of the Immanuel College.",Career360
GL Bajaj,5.0,"THE APPROX FACULTY TO STUDENT RATIO IS 1:20 TO 1:25 WHICH ALLOW RESONABLE ATTRACTION DURING LECTURE FACULTY I APPRICIATED THERE ARE SEVERAL PROFESSORS WHO STAND OUT FOR CONCEPT CLARAITY , PRACTICE EXAMPLE MOTIVATING QUIDANCE FACULTY I FELT TO IMPPROVE - A FEW FACULTY MEMBER DEPEND ON PPT BASED TEACHING RATHER THAN INTERACTIVE EXPLANATION TYPE OF EXAM - INTERNAL ASSESMENT , PRACICAL , END OF SEMESTER THE FAILURE RATION IS VERY LOW",Collegedunia
Delhi Metropolitan Education Noida,5.0,"DME has to main annual festivals, Aloha and Vritika. They are huge, immense festivals featuring hundreds of events, stalls, participants and competitionss, taking place during February and November respectively. There are many other events as well, such as international research conference ICAN, frequent speaker events and more. There are multiple student societies and clubs featuring sports, debate, production, dance, music, theatre and art.",Collegedunia
"BMS Institute of Technology and Management, Bangalore",2.9,"Overall good in academics and facilities are provided The college app handles attendance, fee payment, timetable updates, exam schedules, and internal marks Ã¢ÂÂ all in one place. It works reliably and is updated regularly. Notifications are timely and accurate. It has reduced the need to visit admin counters for routine tasks, saving students and staff significant time. The college encourages interdisciplinary projects that combine skills from multiple departments. Students from engineering, management, and sciences collaborate on common problems. These collaborations expose students to different ways of thinking and approach. Top-performing students in our batch received two or three offers from different campus drives. The placement cell does not restrict students to a single offer before all drives are complete. This flexibility allows students to make informed decisions about their career start.",Career360
"Government Women's Polytechnic, Muzaffarpur",3.2,"funful and growing The college has all the necessary facilities like hostels along with mess facilities, 24*7 Wi-Fi availability, different laboratories, computer labs, KYP labs, play grounds. classrooms are furnished with smart boards as well as Air conditioner. The quality of Academics is quite nice. Different professors are available for different subjects. All the professors are well educated and experienced as well, and provide quality education with practical knowledge. The placement quality is not that good It is average. Although the placement process is pleasent and easy, also average number of students get placed. The salary packages offered ranges between 15,000-20,000 per month.",Career360
